ID,TARGET
11435,11
44936,116
48630,100
496,21
33154,73
51086,114
41056,91
37667,83
15737,34
38856,121
41323,91
60685,133
9947,21
31315,116
12487,16
66627,145
10460,23
33113,81
33104,81
51361,8
39298,112
42510,102
6679,14
66171,96
65744,144
9883,16
21041,42
5967,49
31185,79
48394,107
56310,127
51606,114
53698,114
5075,11
3022,6
8705,19
66658,149
61774,137
13305,2
21585,134
4939,19
16908,32
37967,84
18955,42
8362,7
15138,33
15643,34
5681,12
41481,92
10871,24
60213,61
20285,40
11449,25
16240,36
39934,88
32109,71
28070,49
15417,34
64909,66
35167,73
22538,54
3138,6
5185,15
67980,61
26982,11
66394,149
49365,109
47217,122
2438,5
48333,87
31936,69
10426,30
10760,21
16180,125
10818,24
10825,24
2843,9
19574,43
62020,137
53012,14
21295,49
47214,97
25888,60
29134,64
63700,141
25447,56
7120,11
20447,55
15683,34
37161,66
49352,109
62347,138
21124,118
39108,87
60846,131
164,0
24205,28
8179,18
49214,48
20846,7
18617,41
10880,5
32302,74
41932,88
4244,17
48798,108
54531,122
61713,84
65804,149
67328,58
38311,85
20171,126
11132,24
50475,126
18448,40
53107,119
28715,35
60110,133
35567,79
13075,19
19984,60
5079,19
54234,120
23283,51
56793,120
12241,27
48896,108
57239,127
18836,41
21118,73
34981,77
37299,82
64653,143
8292,29
4819,26
39306,87
28492,46
65525,59
12104,136
38066,84
39947,88
57404,127
53452,118
50624,54
29705,106
38279,85
25548,61
52063,115
17223,105
9686,0
53031,123
39241,87
16262,36
66472,61
36131,105
17290,38
13618,30
37845,84
65684,36
63817,32
7929,17
41463,101
50363,9
13481,29
11649,2
67952,87
36844,81
23188,28
53819,119
54852,120
44119,72
48967,106
22227,59
9639,21
56258,61
18430,40
54372,125
45988,102
25850,60
64350,143
41905,93
31180,116
33447,76
14904,35
30215,67
5691,16
63645,45
30675,68
1201,23
52081,115
29102,69
23994,13
52800,57
4324,27
15686,34
61332,136
68127,59
63525,130
47429,105
15671,42
34740,77
25298,62
54881,126
25957,57
7668,17
27753,54
34198,75
61632,136
52638,116
54407,12
13805,30
6772,52
18205,40
32602,72
55033,122
53529,115
34421,76
62510,65
19616,43
42819,95
2935,6
31729,69
9108,20
33797,75
7761,27
12253,28
39006,86
58411,17
67887,147
61815,115
4943,5
35652,79
28208,13
18743,120
36724,1
54632,1
25527,59
51000,113
59998,133
47560,105
30722,76
44745,99
3979,8
45000,100
49598,96
42017,93
61731,151
4921,2
46335,122
63682,141
45213,100
32438,80
36302,80
11037,24
36785,79
37004,82
25537,133
35708,87
36306,83
16259,36
6898,15
24872,2
40917,103
36560,60
943,2
488,1
31632,70
37073,58
29707,66
65135,97
42881,95
47616,105
15468,34
6270,52
3025,6
29786,66
45212,96
15282,33
60466,58
4346,5
49206,14
16546,108
32742,72
6356,2
50749,112
60272,133
29184,119
33424,74
42375,109
58508,130
21248,43
37126,66
18266,40
33500,74
48887,108
53862,119
22372,49
7782,17
66230,60
66164,130
51516,114
30647,68
26268,60
32020,71
30685,68
62078,73
8799,21
2306,5
23957,30
65356,134
47674,115
37780,83
56587,123
54655,122
53254,59
20073,44
49747,81
35274,73
52005,115
23475,20
18620,41
51355,5
64987,146
1314,5
20427,45
1924,4
46466,143
34682,73
19875,128
58381,129
28543,63
53696,5
2395,5
21760,11
19631,61
32227,74
19283,78
27788,112
16034,35
44018,48
29116,64
32069,114
20931,43
13219,49
35744,58
8696,19
44415,35
12997,28
65181,137
3845,8
64432,143
60806,58
16349,39
36475,81
25889,32
66459,59
2762,6
57243,113
18389,60
13847,16
55225,58
18688,43
12304,27
32530,80
40151,78
17024,37
12924,17
56829,126
18660,62
54971,10
11058,24
12690,28
29972,66
411,0
53251,115
692,59
16974,32
65865,132
10215,21
14943,50
5678,21
3374,51
26655,60
51323,114
49794,111
35880,79
14166,31
11662,25
61789,123
62474,74
42460,126
52185,115
22038,53
32078,108
2804,22
38334,85
2289,19
29486,65
30991,68
49563,111
9338,20
58239,129
42821,65
62935,143
54680,124
63584,32
4907,10
12647,28
15827,35
42593,93
44215,34
62234,136
41953,93
15458,34
38452,85
23975,50
51413,114
38827,73
182,0
40095,89
30127,67
27754,45
54636,121
57199,5
14303,31
34433,76
5010,11
49484,109
46497,117
58836,56
32564,72
20004,71
19918,47
13259,29
12216,27
